date,temp_mean,temp_max,temp_min,precip,et0,humidity_mean,soil_moisture_0_7,soil_moisture_7_28,daylight_hours
2024-04-01,12.641666,20.8,6.1,0.1,3.6721218,78.80543,0.35158333,0.3662083,12.599837
2024-04-02,13.820834,23.35,6.55,0.0,4.2081566,72.82458,0.33399996,0.3544583,12.635568
2024-04-03,11.804166,17.7,6.45,0.0,3.377834,84.58707,0.3140833,0.3395833,12.671372
2024-04-04,9.602084,12.05,5.8,2.7,1.7184149,76.584435,0.32075003,0.3327916,12.707237
2024-04-05,7.4374995,10.6,4.65,3.5999994,2.2979603,80.8028,0.369125,0.33733332,12.743138
2024-04-06,8.179167,15.05,1.65,0.0,3.4284062,74.000374,0.33954164,0.3356667,12.779051
2024-04-07,9.924999,17.8,2.95,0.0,3.5457547,69.69257,0.3143333,0.32829165,12.814954
2024-04-08,11.591666,17.9,5.2,0.0,3.8558686,70.664406,0.29687503,0.32079163,12.850824
2024-04-09,15.420834,24.0,8.7,0.0,4.7664185,56.563614,0.28158334,0.31325004,12.886637
2024-04-10,16.760416,25.95,10.85,0.0,4.824231,61.67799,0.2670833,0.30566666,12.922366
2024-04-11,16.647915,26.95,9.8,0.0,4.675807,73.00382,0.25458333,0.29758337,12.95799
2024-04-12,13.479165,19.95,9.4,0.0,3.4487321,82.11141,0.24866664,0.29358327,12.993484
2024-04-13,10.991666,13.85,7.5,19.0,1.2950486,81.872955,0.316125,0.3031667,13.028818
2024-04-14,10.402083,14.7,7.9,15.0,1.9929585,85.26209,0.40649998,0.36312506,13.0639715
2024-04-15,12.116669,19.25,4.5,0.0,3.8680155,73.62673,0.367875,0.36154166,13.098917
2024-04-16,16.008333,24.55,8.75,0.0,4.782612,65.573845,0.3384167,0.35154167,13.133626
2024-04-17,16.789583,24.0,11.05,0.0,4.4711976,70.936386,0.3176667,0.34087503,13.168074
2024-04-18,15.049999,22.25,10.9,0.0,3.9428766,85.01567,0.30241665,0.32975,13.20223
2024-04-19,13.145833,17.5,9.5,0.2,3.3798857,87.16486,0.29154164,0.32125,13.236071
2024-04-20,12.7,19.55,8.55,0.0,3.5390377,88.95106,0.2806667,0.3142083,13.269564
2024-04-21,17.845833,28.95,11.15,0.0,5.062602,67.19424,0.26491663,0.30258328,13.302681
2024-04-22,13.4375,19.8,10.05,0.1,2.8826602,87.35806,0.2585416,0.29466668,13.335505
2024-04-23,12.9104185,17.25,10.45,0.3,2.971899,77.746544,0.2492917,0.28970838,13.368249
2024-04-24,13.152084,16.7,9.85,0.0,3.241634,79.27329,0.25058332,0.2841667,13.400896
2024-04-25,12.808334,17.05,9.0,0.0,3.2521012,82.90896,0.24533331,0.27949995,13.433421
2024-04-26,12.850001,17.05,9.5,0.0,3.1374393,83.32819,0.23179166,0.27458328,13.465801
2024-04-27,12.658333,19.6,7.55,0.0,4.052646,80.38986,0.2192083,0.26812497,13.498007
2024-04-28,14.220832,22.55,7.9,0.0,4.397982,78.051994,0.20937498,0.26254174,13.530014
2024-04-29,15.333335,23.05,8.6,0.0,4.814174,69.51847,0.20145835,0.25833336,13.561794
2024-04-30,15.116666,25.25,9.75,0.0,5.0891013,62.48227,0.19291665,0.25312498,13.593324
2024-05-01,16.714582,26.55,8.35,0.0,5.585276,60.3757,0.18145834,0.24795829,13.62457
2024-05-02,16.335417,25.3,9.85,0.0,5.457407,52.926685,0.17320831,0.24279165,13.655509
2024-05-03,13.497917,20.55,8.95,0.0,4.3197737,79.47337,0.16533335,0.23825002,13.6861105
2024-05-04,11.241666,15.55,7.6,3.6,1.7766452,87.87531,0.17695837,0.23774998,13.716342
2024-05-05,10.283334,16.65,3.7,0.0,3.9597535,71.75337,0.20400004,0.23675005,13.746176
2024-05-06,13.699998,22.55,5.85,0.0,5.192066,59.0117,0.19387501,0.23720832,13.775584
2024-05-07,14.583335,23.25,8.75,0.0,4.9680977,63.937366,0.18424998,0.23658335,13.804532
2024-05-08,16.770834,25.6,11.15,0.0,5.6892915,49.988956,0.1785,0.23791671,13.83299
2024-05-09,15.604167,24.4,8.6,0.0,5.042505,61.98261,0.17458333,0.24054168,13.860924
2024-05-10,13.8479185,20.9,9.2,0.0,4.2350726,80.93124,0.172875,0.24075,13.888302
2024-05-11,14.906247,25.4,9.1,0.0,4.592406,78.19121,0.174375,0.24199997,13.9150915
2024-05-12,14.175,21.9,8.65,0.0,4.418769,80.62134,0.17941666,0.24416663,13.9413595
2024-05-13,13.141666,19.25,9.15,0.0,3.9490368,83.63761,0.17579167,0.2365834,13.967294
2024-05-14,12.479167,17.95,8.8,0.0,3.8468585,84.16224,0.18316664,0.23374994,13.992876
2024-05-15,13.035417,19.2,9.25,0.0,3.7142158,82.64602,0.18475002,0.230875,14.018085
2024-05-16,13.295834,18.95,9.95,0.0,3.8839972,84.52035,0.18475002,0.22724994,14.042892
2024-05-17,13.710418,18.85,10.95,0.0,3.786709,80.5918,0.18466668,0.22549999,14.067276
2024-05-18,14.020832,18.0,11.3,0.0,3.1839242,78.37009,0.18299998,0.22312504,14.091208
2024-05-19,13.3625,18.15,9.95,0.0,3.7066236,79.63618,0.187625,0.22091663,14.114666
2024-05-20,12.152084,16.35,8.95,0.0,3.6351104,78.41719,0.17891668,0.21829166,14.13762
2024-05-21,13.170833,19.75,8.5,0.0,4.2650766,82.636314,0.17254163,0.21629171,14.160048
2024-05-22,13.374999,19.9,8.8,0.0,4.2787485,82.0678,0.16741665,0.21504171,14.181921
2024-05-23,13.806249,21.5,9.3,0.0,4.4100356,78.993225,0.16174997,0.21324998,14.20321
2024-05-24,12.304165,16.4,8.85,0.0,3.9841957,77.75118,0.15708333,0.2125833,14.22389
2024-05-25,13.329167,18.6,10.05,0.4,3.8293111,77.856346,0.15737501,0.21116666,14.243935
2024-05-26,12.985416,19.3,8.8,0.0,4.3764653,80.20923,0.15429164,0.20920838,14.263315
2024-05-27,12.539581,19.15,8.25,0.0,4.1109333,82.76066,0.15850002,0.20779161,14.282003
2024-05-28,12.935418,19.3,8.35,0.0,4.184665,82.38312,0.16462502,0.20604165,14.299972
2024-05-29,14.170833,20.9,7.9,0.0,4.8396363,75.89026,0.1577083,0.2041667,14.317189
2024-05-30,16.6625,25.8,9.6,0.0,5.482401,69.33271,0.15745832,0.20300005,14.333632
2024-05-31,14.23125,22.25,9.05,0.0,4.5279746,82.31487,0.14741668,0.20029165,14.349271
